 r=   94.4000000000000      z=  -151.200000000000     
 Xi=   1.58879120371618      Theta=  -2.10286891094755     
 r2=   108.770775141368      z2=  -112.693812847531     
 ------------------------------------------------------------
 r=   94.4000000000000      z=  -148.400000000000     
 Xi=   1.58879120371618      Theta=  -2.10286891094755     
 r2=   108.770775141368      z2=  -112.693812847531     
 ------------------------------------------------------------
 r=   94.4000000000000      z=  -145.600000000000     
 Xi=   1.58879120371618      Theta=  -2.10286891094755     
 r2=   108.770775141368      z2=  -112.693812847531     
 ------------------------------------------------------------
 r=   94.4000000000000      z=  -142.800000000000     
 Xi=   1.58727981276150      Theta=  -2.10449300528662     
 r2=   108.714144271103      z2=  -112.552135204972     
 ------------------------------------------------------------
 r=   94.4000000000000      z=  -140.000000000000     
 Xi=   1.57458363842804      Theta=  -2.11823624345466     
 r2=   108.238634401299      z2=  -111.349561086380     
 ------------------------------------------------------------
 r=   94.4000000000000      z=  -137.200000000000     
 Xi=   1.56209570625835      Theta=  -2.13229443669072     
 r2=   107.757681682564      z2=  -110.112444211022     
 ------------------------------------------------------------
 r=   94.4000000000000      z=  -134.400000000000     
 Xi=   1.54952970425913      Theta=  -2.14653998378188     
 r2=   107.273919071668      z2=  -108.851385897369     
 ------------------------------------------------------------
 r=   94.4000000000000      z=  -131.600000000000     
 Xi=   1.53707461219785      Theta=  -2.16105227384297     
 r2=   106.783104057135      z2=  -107.558658259532     
 ------------------------------------------------------------
 r=   94.4000000000000      z=  -128.800000000000     
 Xi=   1.52483241054346      Theta=  -2.17583314008095     
 r2=   106.283713020344      z2=  -106.233244127710     
 ------------------------------------------------------------
 r=   94.4000000000000      z=  -126.000000000000     
 Xi=   1.51258202108326      Theta=  -2.19078432694865     
 r2=   105.777585543293      z2=  -104.883184872552     
 ------------------------------------------------------------
 r=   94.4000000000000      z=  -123.200000000000     
 Xi=   1.50031313068938      Theta=  -2.20591300557110     
 r2=   105.263778903766      z2=  -103.507412946889     
 ------------------------------------------------------------
 r=   94.4000000000000      z=  -120.400000000000     
 Xi=   1.48829049655444      Theta=  -2.22130513396083     
 r2=   104.738969087333      z2=  -102.097711867782     
 ------------------------------------------------------------
 r=   94.4000000000000      z=  -117.600000000000     
 Xi=   1.47629170569085      Theta=  -2.23688148469884     
 r2=   104.205531991810      z2=  -100.661030581543     
 ------------------------------------------------------------
 r=   94.4000000000000      z=  -114.800000000000     
 Xi=   1.46425021081710      Theta=  -2.25262777276207     
 r2=   103.663979447680      z2=  -99.1988024545140     
 ------------------------------------------------------------
 r=   94.4000000000000      z=  -112.000000000000     
 Xi=   1.45240414466550      Theta=  -2.26863632308949     
 r2=   103.111209309707      z2=  -97.7025876081894     
 ------------------------------------------------------------
 r=   94.4000000000000      z=  -109.200000000000     
 Xi=   1.44070613822809      Theta=  -2.28489638310446     
 r2=   102.547331093679      z2=  -96.1732841019604     
 ------------------------------------------------------------
 r=   94.4000000000000      z=  -106.400000000000     
 Xi=   1.42893055725296      Theta=  -2.30132532002475     
 r2=   101.974536518833      z2=  -94.6184015351165     
 ------------------------------------------------------------
 r=   94.4000000000000      z=  -103.600000000000     
 Xi=   1.41725346751149      Theta=  -2.31798936837470     
 r2=   101.389736738533      z2=  -93.0313515433790     
 ------------------------------------------------------------
 r=   94.4000000000000      z=  -100.800000000000     
 Xi=   1.40580861739142      Theta=  -2.33493602081322     
 r2=   100.790151830834      z2=  -91.4068022224824     
 ------------------------------------------------------------
 r=   94.4000000000000      z=  -98.0000000000000     
 Xi=   1.39427718805519      Theta=  -2.35203946156157     
 r2=   100.178988907892      z2=  -89.7558942135477     
 ------------------------------------------------------------
 r=   94.4000000000000      z=  -95.2000000000000     
 Xi=   1.38275029362394      Theta=  -2.36933767759829     
 r2=   99.5539994208598      z2=  -88.0741577215205     
 ------------------------------------------------------------
 r=   94.4000000000000      z=  -92.4000000000000     
 Xi=   1.37140480723912      Theta=  -2.38689801824364     
 r2=   98.9123026475221      z2=  -86.3541993149176     
 ------------------------------------------------------------
 r=   94.4000000000000      z=  -89.6000000000000     
 Xi=   1.36024021402234      Theta=  -2.40471895982649     
 r2=   98.2536753164620      z2=  -84.5953609565847     
 ------------------------------------------------------------
 r=   94.4000000000000      z=  -86.8000000000000     
 Xi=   1.34883098028301      Theta=  -2.42266607496966     
 r2=   97.5837293582254      z2=  -82.8108668641451     
 ------------------------------------------------------------
 r=   94.4000000000000      z=  -84.0000000000000     
 Xi=   1.33761331596738      Theta=  -2.44092001401250     
 r2=   96.8966370981069      z2=  -80.9828498256987     
 ------------------------------------------------------------
 r=   94.4000000000000      z=  -81.2000000000000     
 Xi=   1.32663127896741      Theta=  -2.45950491613215     
 r2=   96.1923001051715      z2=  -79.1085586972010     
 ------------------------------------------------------------
 r=   94.4000000000000      z=  -78.4000000000000     
 Xi=   1.31570708750952      Theta=  -2.47837186729393     
 r2=   95.4734149542094      z2=  -77.1924463063449     
 ------------------------------------------------------------
 r=   94.4000000000000      z=  -75.6000000000000     
 Xi=   1.30472008022373      Theta=  -2.49748461455834     
 r2=   94.7420253530547      z2=  -75.2372404078920     
 ------------------------------------------------------------
 r=   94.4000000000000      z=  -72.8000000000000     
 Xi=   1.29399372104570      Theta=  -2.51695292497794     
 r2=   94.4153551637223      z2=  -72.7911812474331     
 ------------------------------------------------------------
 r=   94.4000000000000      z=  -70.0000000000000     
 Xi=   1.28348837954215      Theta=  -2.53676191908626     
 r2=   94.4073132666316      z2=  -69.9947404442297     
 ------------------------------------------------------------
 r=   94.4000000000000      z=  -67.2000000000000     
